Sun, 1.998e30, 348e6, 255, 153, 51, 0, 0, 0, 0, 0, 0
Mercury, 0.33e24, 2430e3, 102, 102, 102, -4.861930797e10, 0, 0, 0, 56308, 0
Venus, 4.87e24, 6050e3, 142, 142, 72, 0, 1.074112712e11, 0, 35255, 0, 0
Earth, 5.97e24, 6360e3, 102, 230, 255, -1.482514899e11, 0, 0, 0, 30052, 0
Mars, 0.642e24, 3350e3, 51, 26, 0, 2.38309408e11, 0, 0, 0, -23050, 0
Jupiter, 1898e24, 71000e3, 209, 163, 117, 8.151587974e11, 0, 0, 0, -12455, 0
Saturn, 568e24, 60000e3, 204, 204, 102, 0, -1.506749754e12, 0, -9119, 0, 0
Uranus, 86.8e24, 60050e3, 61, 122, 184, 0, -3.001980471e12, 0, -6494, 0, 0
Neptune, 102e24, 25000e3, 99, 176, 176, 4.541940952e12, 0, 0, 0, -5379, 0
Pluto, 0.0146e24, 2370e3, 122, 122, 122, -7.370687089e12, 0, 0, 0, 3680, 0
